200_C,200_MU,300_C,300_MU,400_C,400_MU,500_C,500_MU
98804805570029810,1000,44681788478581140,936,19257295749614508,677.3333333333333,19964622216446660,426.66666666666663
112776684097120620,934.6666666666666,61819105317136770,861.3333333333334,32685889887333256,624,35556077007058710,398.66666666666663
135066704267956880,862.6666666666666,79576217107117440,798.6666666666666,48605349814055736,581.3333333333333,57516324160068800,374.66666666666663
163719050292907330,778.6666666666666,101209652124787680,736,75839517509059090,533.3333333333333,90829002157921700,347.9999999999999
193734187776636700,716,131857378955576480,670.6666666666666,106196367215230400,491.9999999999999,145171009064175300,319.9999999999999
246402385817836220,625.3333333333333,175966829596273400,602.6666666666666,143435933249908750,454.66666666666663,240547608964263650,290.6666666666665
305942412290735170,552,221129925489426900,544,196077697495516930,413.33333333333326,362031813924703360,257.33333333333326
408287475120934900,473.33333333333326,295103180614140300,485.33333333333326,288091222245555040,369.33333333333326,544869412163151500,229.33333333333326
538357163298366200,412,375329355134731300,433.33333333333326,389115319172346240,330.66666666666663,892055026930051200,199.9999999999999
692996546747605500,361.33333333333314,483140124685633500,386.66666666666663,585630950282202000,289.33333333333326,1478130552207692500,178.66666666666652
936007596382741800,306.66666666666663,684713890620992300,331.9999999999999,850166359916784500,248,2334243800812494300,149.33333333333326
1279527452979833300,261.33333333333326,924820485726677400,286.66666666666663,1162182017878253300,215.9999999999999,3598618184806574000,129.33333333333326
1770279236021303600,223.9999999999999,1204869325131045600,250.66666666666663,1666986623406280400,192,5416034998965574000,111.99999999999989
2664326640907242000,187.9999999999999,1569720949142981400,214.66666666666663,2391057820433940500,167.9999999999999,8867081063837837000,102.66666666666663
3642148946142082600,159.9999999999999,2120170352211116300,186.66666666666652,3513111275515443700,146.66666666666663,14343593324990876000,97.33333333333326
5614967650251004000,136,3041086131181892000,161.33333333333326,5682889225738406000,119.99999999999989,26167038247019815000,90.66666666666663
8867081063837837000,124,4745043617104653000,136,10492711414944328000,105.33333333333326,41822493435918810000,89.33333333333314
16770386855932324000,133.33333333333314,6888427699486068000,125.33333333333326,19373418777663672000,99.99999999999989,73593715757295290000,85.33333333333326
30228580562011984000,137.33333333333326,10000000000000000000,113.33333333333314,33280758176176427000,95.99999999999989,98212575910397170000,78.66666666666652
60714135736721330000,133.33333333333314,14870437972347249000,106.66666666666652,55813118947321135000,94.66666666666663,,
93600759638274180000,133.33333333333314,23767259734049630000,106.66666666666652,87085887208582600000,91.99999999999989,,
,,39382226089858880000,109.33333333333326,,,,
,,64476206538522010000,109.33333333333326,,,,
,,97038744673585860000,107.99999999999989,,,,
