ND (cm-3);DEG (meV)
116417927830931420; 19,338554581543434
140258704933592260; 20,279339689635492
168981742556163680; 21,34556281213986
203586859944540030; 22,537223949056482
295508286360561000; 25,359579273332628
356024285213785340; 26,927554453486067
428933121378972860; 28,370091619227253
750100512307460400; 33,93117692483807
903710694619625500; 36,021810498376
1081121764330975900; 38,195314463842806
1311744769802467300; 39,15776085868288
1580371907006439700; 41,8546781685468
1969609645794758400; 45,1787855504721
2372958386143729000; 48,001140874748245
2879153722253630000; 50,83917595082599
3408659419590308000; 53,95703428982338
4149731537187762700; 56,71908287640136
5052741939093901000; 60,51299482168011
6023375259802075000; 64,80147227169894
7246643994792277000; 70,524581679259
9462050851316765000; 75,06265028955193
11303619032640616000; 80,33278908951212
13812014135089236000; 85,50710718401845
16314945016239462000; 91,87918409669754
19711582076159082000; 98,3958631648797
22381405943058473000; 101,71997054680497
38809631406247590000; 122,41724292483033
61936970984743444000; 142,1141471379178
71406171702838450000; 150,74184345697984
83871137522079530000; 158,56847867844795
98512040927239600000; 165,9198432008651
114733006634525300000; 173,50884307280774
132498117249091980000; 180,88703739275195
151723661279322640000; 188,47603726469458
168719909283854200000; 197,8207672934911
198948435542651500000; 204,77513926238953
225894891663821700000; 212,30254010939757
247948445504093420000; 217,62469586374695
524619413973434000; 30,291970802919707
25849453264355800000; 106,56934306569343
30373180592455954000; 113,86861313868613
48833286482549060000; 133,57664233576642
